Termocupla 1: 	Termocupla 2: 	Termocupla 3: 	Termocupla 4: 	Termocupla 5: 	Termocupla 6: 	
77.792509	67.146104	74.420900	63.886004	70.901962	79.703072	
79.234501	79.549539	65.865708	78.824273	63.445738	60.992180	
62.405360	63.975206	77.723068	75.297508	73.213311	77.978938	
74.768552	71.291025	75.113837	73.867696	75.006494	66.655621	
69.427990	63.708049	69.429274	67.821972	73.457054	73.165691	
65.923930	65.505280	66.143155	63.640196	78.554782	75.438083	
64.801867	73.871222	76.777325	64.437234	62.899945	78.757621	
61.815039	77.845249	69.519176	71.449876	72.870719	79.078622	
79.626800	62.794594	63.041252	77.984533	63.788872	68.621974	
60.056360	63.843146	63.880734	66.411356	68.225428	70.164493	
77.684327	70.422353	75.831299	73.733483	73.306038	63.810869	
66.389563	65.231875	76.343798	62.794309	67.834981	78.558816	
75.151441	75.525291	74.589281	64.561854	76.193995	60.963452	
76.518003	78.831232	68.896599	65.252326	62.577906	70.827116	
76.019290	72.703196	64.415631	66.960554	69.971202	71.990115	
66.978441	72.903039	71.164143	71.138860	66.807807	71.099113	
63.378259	64.547996	76.059822	68.927854	63.006382	64.744341	
76.095655	65.278164	77.373863	62.930333	64.485692	77.572998	
61.818877	73.887827	60.971093	67.686867	69.676567	60.933474	
72.198169	71.383028	60.626773	73.237224	64.359340	72.727760	
68.078100	72.825193	79.193785	76.335347	62.879560	62.964047	
68.214692	76.247687	60.063713	62.573381	76.309680	70.912352	
66.712210	62.703739	74.402801	71.323708	67.986365	61.210808	
75.777910	63.862243	77.840177	67.499021	62.876544	66.132311	
74.739132	78.692518	65.185282	63.420260	67.347355	74.262776	
71.382939	68.597921	67.765453	67.675053	63.630762	69.278166	
71.837417	69.488641	66.668967	77.805139	64.179426	64.786302	
73.584360	60.567817	64.260847	61.282601	75.705279	68.583665	
61.046546	63.552001	66.196802	60.343071	68.704958	67.439155	
69.060562	67.335620	65.193642	60.228332	76.255012	66.176240	
74.885371	75.737184	66.316740	73.977673	60.585068	64.898425	
72.716056	66.021550	69.833246	71.071007	76.990704	69.200408	
60.910737	67.000595	66.449053	64.083540	66.422985	61.168701	
67.915545	62.022404	62.164318	63.400069	66.330180	61.401320	
61.587658	78.687500	72.532522	75.895794	62.796141	74.491213	
74.797576	67.545862	64.545475	63.987582	61.405210	78.743578	
76.925266	66.271001	79.631447	71.460171	66.931800	65.757880	
78.272713	78.393105	69.198465	75.054394	78.226538	79.466439	
69.291982	71.782222	64.932860	71.890384	61.571474	77.158267	
67.101405	78.587866	68.388869	66.036237	63.511236	70.879998	
75.467169	61.083110	69.576334	64.968876	68.933753	75.896194	
67.447697	78.057699	63.326156	69.653770	72.940179	61.968877	
70.171104	77.287464	61.565701	78.595595	62.575541	64.675558	
67.972431	68.635559	71.621012	67.006728	75.475682	77.896016	
64.682405	78.800958	68.524105	68.641223	65.688115	77.849598	
62.490360	75.357191	61.872914	77.423993	72.383124	70.832292	
67.153928	73.411430	77.810644	63.372386	72.125618	61.641262	
64.704928	73.323324	63.198657	78.260096	68.886642	61.330947	
60.547808	71.240584	60.144763	70.595924	68.723057	60.179864	
73.431179	66.178682	65.645382	60.985132	76.059134	76.468180	
65.875216	63.769511	67.991292	63.703885	73.996452	66.974229	
72.967616	60.634195	62.764435	63.496026	74.058363	77.381731	
77.750454	63.997314	73.454090	71.600627	79.984216	67.861733	
76.379980	76.797098	70.253387	78.204145	72.166253	61.984785	
64.783835	76.916668	75.941808	78.211979	73.539411	72.165405	
61.403914	64.456094	62.556528	62.441290	78.138661	74.845204	
61.980802	77.903075	79.975078	62.434613	68.507728	64.863881	
63.316755	72.806330	76.050838	66.325546	76.233897	68.635309	
61.758513	68.056755	62.770981	64.252781	61.845252	62.222030	
68.116805	78.663949	71.709345	76.906966	75.906494	78.259078	
61.352686	75.636052	79.066309	61.123044	65.454941	69.146420	
76.991348	78.621140	65.156694	61.173650	73.786538	73.241558	
67.358095	79.111957	76.594275	63.988254	71.201036	66.604480	
78.478754	71.638853	64.136205	66.247693	78.923530	76.821901	
